Code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific.name,DBH,DBHClass,Native,BehaviourType,Type
S10,19/07/2024,10:06,10:26,20,1,2,Friday,HOSP,Passer domesticus,Vocalize,10:17,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
S10,19/07/2024,10:06,10:26,20,1,2,Friday,HOSP,Passer domesticus,Vocalize,10:17,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
S20,13/06/2024,7:53,8:13,16,1,1,Thursday,CHSP,Spizella passerina,Perch,7:55,Norway maple,Acer platanoides,24,MedLarge,No,Rest,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:27,Norway maple,Acer platanoides,25,MedLarge,No,Territory_defense,Street
S05,10/06/2024,8:10,8:30,14,3,3,Monday,AMRO,Turdus migratorius,Perch,8:29,Norway maple,Acer platanoides,28,Large,No,Rest,Street
S05,28/06/2024,9:41,10:01,17,1,2,Friday,HOSP,Passer domesticus,Vocalize,9:58,Norway maple,Acer platanoides,29,Large,No,Territory_defense,Street
S21,11/06/2024,7:05,7:25,12,4,2,Tuesday,CEDW,Bombycilla cedrorum,Perch,7:20,Norway maple,Acer platanoides,30,Large,No,Rest,Street
S05,10/06/2024,8:10,8:30,14,3,3,Monday,HOSP,Passer domesticus,Vocalize,8:28,Norway maple,Acer platanoides,31,Large,No,Territory_defense,Street
S05,10/06/2024,8:10,8:30,14,3,3,Monday,HOSP,Passer domesticus,Hop,8:28,Norway maple,Acer platanoides,31,Large,No,Foraging,Street
S05,10/06/2024,8:10,8:30,14,3,3,Monday,HOSP,Passer domesticus,Vocalize,8:28,Norway maple,Acer platanoides,31,Large,No,Territory_defense,Street
S05,10/06/2024,8:10,8:30,14,3,3,Monday,HOSP,Passer domesticus,Hop,8:28,Norway maple,Acer platanoides,31,Large,No,Foraging,Street
S16,24/05/2024,6:44,7:04,16,2,4,Friday,AMGO,Spinus tristis,Vocalize,6:44,Norway maple,Acer platanoides,35,Large,No,Territory_defense,Street
S17,20/06/2024,8:48,9:08,28,1,2,Thursday,EUST,Sturnus vulgaris,Perch,8:50,Norway maple,Acer platanoides,35,Large,No,Rest,Street
S10,25/06/2024,8:09,8:29,18,1,2,Tuesday,HOSP,Passer domesticus,Glean,8:17,Norway maple,Acer platanoides,35,Large,No,Foraging,Street
S10,25/06/2024,8:09,8:29,18,1,2,Tuesday,HOSP,Passer domesticus,Perch,8:23,Norway maple,Acer platanoides,35,Large,No,Rest,Street
S17,28/06/2024,8:10,8:30,15,1,1,Friday,NOCA,Cardinalis cardinalis,Vocalize,8:29,Norway maple,Acer platanoides,35,Large,No,Territory_defense,Street
S17,28/06/2024,8:10,8:30,15,1,1,Friday,NOCA,Cardinalis cardinalis,Perch,8:29,Norway maple,Acer platanoides,35,Large,No,Rest,Street
