"","Yard.code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"19","S13","17/05/2024","6:59","7:19",16,4,2,"Friday","AMRO","Turdus migratorius","Vocalize","7:00","Norway maple","Acer platanoides","60","","Territory_defense","Street","NA","NA"
"20","S13","17/05/2024","6:59","7:19",16,4,2,"Friday","AMRO","Turdus migratorius","Gape","7:05","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"21","S13","17/05/2024","6:59","7:19",16,4,2,"Friday","EUST","Sturnus vulgaris","Gape","7:10","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"22","S13","17/05/2024","6:59","7:19",16,4,2,"Friday","HOSP","Passer domesticus","Glean","7:15","Common hackberry","Celtis occidentalis","5","","Foraging","Street","NA","NA"
"23","S13","17/05/2024","6:59","7:19",16,4,2,"Friday","NOCA","Cardinalis cardinalis","Perch","7:15","Common hackberry","Celtis occidentalis","5","","Rest","Street","NA","NA"
"24","S13","17/05/2024","6:59","7:19",16,4,2,"Friday","EUST","Sturnus vulgaris","Gape","7:19","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"25","S06","17/05/2024","7:25","7:45",16,4,2,"Friday","BCCH","Poecile atricapillus","Perch","7:40","Norway maple","Acer platanoides","50","","Rest","Street","NA","NA"
"26","S06","17/05/2024","7:25","7:45",16,4,2,"Friday","AMRO","Turdus migratorius","Perch","7:40","European linden","Tilia × europaea","50","","Rest","Street","NA","NA"
"27","S08","17/05/2024","8:14","8:34",16,4,2,"Friday","LEFL","Empidonax minimus","Sally","8:24","Norway maple","Acer platanoides","60","","Foraging","Street","NA","NA"
"28","S08","17/05/2024","8:14","8:34",16,4,2,"Friday","HOSP","Passer domesticus","Peck","8:26","Ground","NA ",NA,"","Foraging","Street","NA","NA"
"29","S08","17/05/2024","8:14","8:34",16,4,2,"Friday","HOSP","Passer domesticus","Glean","8:28","Norway maple","Acer platanoides","60","","Foraging","Street","NA","NA"
"30","S08","17/05/2024","8:14","8:34",16,4,2,"Friday","AMCR","Corvus brachyrhynchos","Attack squirrel ","8:30","Norway maple","Acer platanoides","60","","Territory_defense","Street","NA","NA"
"31","S08","17/05/2024","8:14","8:34",16,4,2,"Friday","HOSP","Passer domesticus","Perch","8:33","Norway maple","Acer platanoides","60","","Rest","Street","NA","NA"
"32","S03","17/05/2024","9:12","9:32",16,4,2,"Friday",NA,"","","","","","","Busy street, daycare dropoff time","NA","Street","NA","NA"
"33","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","7:10","Ground",NA,NA,"","Foraging","Street","NA","NA"
"34","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","REVI","Vireo olivaceus","Vocalize","7:12","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"35","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:15","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"36","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:15","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"37","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"38","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"39","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:19","Ground",NA,NA,"","Foraging","Street","NA","NA"
"40","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","NOCA","Cardinalis cardinalis","Vocalize","7:20","Silver maple","Acer saccharinum","   ","","Territory_defense","Street","NA","NA"
"41","S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:22","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"42","S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","WBNU","Sitta carolinensis","Peck","7:55","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"43","S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:57","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"44","S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","8:00","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"45","S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","8:05","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"46","S15","22/05/2024","8:35","8:55",19,1,1,"Wednesday ",NA,"","","","","","","Only 1 street tree, construction & street cleaning passing by, YEWA and AMRE heard across the street, lots ot CHSW above, Benny Crescent may be better","NA","Street","NA","NA"
"47","S16","24/05/2024","6:44","7:04",16,2,4,"Friday","AMGO","Spinus tristis","Vocalize","6:44","Norway maple","Acer platanoides","35","Windy, saw BEKI flying around","Territory_defense","Street","NA","NA"
"48","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:27","Norway maple","Acer platanoides","25","","Territory_defense","Street","NA","NA"
"49","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:27","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"50","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Perch","7:30","Norway maple","Acer platanoides","20","","Rest","Street","NA","NA"
"51","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","CHSP","Spizella passerina","Vocalize","7:34","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"52","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","CHSP","Spizella passerina","Collect nesting material","7:37","Norway maple","Acer platanoides","20","","Reproduction","Street","NA","NA"
"53","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","CHSP","Spizella passerina","Perch","7:37","Norway maple","Acer platanoides","20","","Rest","Street","NA","NA"
"54","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:44","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"55","S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:48","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"56","S11","24/05/2024","8:11","8:31",17,4,4,"Friday","CHSP","Spizella passerina","Perch","8:17","American elm","Ulmus americana","50","Very windy, light rain just before survey","Rest","Street","NA","NA"
"57","S11","24/05/2024","8:11","8:31",17,4,4,"Friday","CHSP","Spizella passerina","Perch","8:17","American elm","Ulmus americana","50","","Rest","Street","NA","NA"
"58","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Hop","8:47","Ground",NA,NA,"","Foraging","Street","NA","NA"
"59","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Hop","8:53","Ground",NA,NA,"","Foraging","Street","NA","NA"
"60","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Glean","8:54","Common lilac","Syringa vulgaris","5","Picture with bush***","Foraging","Street","NA","NA"
"61","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","8:54","Sugar maple","Acer saccharum","25","","Rest","Street","NA","NA"
"62","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","8:58","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"63","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:01","Sugar maple","Acer saccharum","5","","Rest","Street","NA","NA"
"64","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:01","Sugar maple","Acer saccharum","5","","Rest","Street","NA","NA"
"65","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:01","Sugar maple","Acer saccharum","5","","Rest","Street","NA","NA"
"66","S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Forage","9:01","Ground",NA,NA,"","Foraging","Street","NA","NA"
"67","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Vocalize","9:24","Red ash","Fraxinus pennsylvanica","50","YEWA heard near train tracks","Territory_defense","Street","NA","NA"
"68","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Preen","9:26","Red ash","Fraxinus pennsylvanica","40","","Grooming","Street","NA","NA"
"69","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","CHSP","Spizella passerina","Perch","9:26","Red ash","Fraxinus pennsylvanica","40","","Rest","Street","NA","NA"
"70","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:28","Red ash","Fraxinus pennsylvanica","40","","Rest","Street","NA","NA"
"71","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Bill wipe","9:28","Honey locust","Gleditsia triacanthos","5","","Grooming","Street","NA","NA"
"72","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:30","Honey locust","Gleditsia triacanthos","5","","Rest","Street","NA","NA"
"73","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:31","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"74","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:31","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"75","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:31","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"76","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Hop","9:31","Red ash","Fraxinus pennsylvanica","40","","Foraging","Street","NA","NA"
"77","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Vocalize","9:32","Red ash","Fraxinus pennsylvanica","30","","Territory_defense","Street","NA","NA"
"78","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:32","Red ash","Fraxinus pennsylvanica","30","","Reproduction","Street","NA","NA"
"79","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:34","Ground",NA,"5","","Reproduction","Street","NA","NA"
"80","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Preen","9:34","Red ash","Fraxinus pennsylvanica","30","","Grooming","Street","NA","NA"
"81","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:38","Common hackberry","Celtis occidentalis","5","","Rest","Street","NA","NA"
"82","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Vocalize","9:38","Common hackberry","Celtis occidentalis","5","","Territory_defense","Street","NA","NA"
"83","S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Bill wipe","9:38","Common hackberry","Celtis occidentalis","5","","Grooming","Street","NA","NA"
"84","S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","WBNU","Sitta carolinensis","Peck","8:38","Silver maple","Acer saccharinum","85","Large tree farthest from the intersection","Foraging","Street","NA","NA"
"85","S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","HOSP","Passer domesticus","Bill wipe","8:46","Silver maple","Acer saccharinum","66","Young, round tree in the middle of the transect","Grooming","Street","NA","NA"
"86","S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","8:46","Silver maple","Acer saccharinum","66","","Territory_defense","Street","NA","NA"
"87","S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","AMRO","Turdus migratorius","Vocalize","8:48","Kentucky coffeetree","Gymnocladus dioicus","7","Windy. Heard REVI and CEDW flock vocalizations","Territory_defense","Street","NA","NA"
"88","S19","28/05/2024","9:03","9:23",17,4,4,"Tuesday",NA,"","","","","","","Windy.","NA","Street","NA","NA"
"89","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:58","Ground",NA,NA,"Construction","Foraging","Street","NA","NA"
"90","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:58","Ground",NA,NA,"","Foraging","Street","NA","NA"
"91","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","7:59","European linden","Tilia × europaea","54","","Rest","Street","NA","NA"
"92","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","7:59","Ground",NA,NA,"","Foraging","Street","NA","NA"
"93","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:00","Silver maple","Acer saccharinum","4","","Rest","Street","NA","NA"
"94","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:01","Common hackberry","Celtis occidentalis","16","","Rest","Street","NA","NA"
"95","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:01","Ground",NA,NA,"","Foraging","Street","NA","NA"
"96","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:01","Common hackberry","Celtis occidentalis","16","","Rest","Street","NA","NA"
"97","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:01","Ground",NA,NA,"","Foraging","Street","NA","NA"
"98","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:05","Ground",NA,NA,"","Foraging","Street","NA","NA"
"99","S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:05","Ground",NA,NA,"","Foraging","Street","NA","NA"
"100","S14","29/05/2024","8:41","9:01",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:46","European linden","Tilia x europaea","61","TUVU, garbage truck, 2 cats, wrong side of street at start.","Rest","Street","NA","NA"
"101","S14","29/05/2024","8:41","9:01",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","8:57","Blue spruce","Picea pungens","44","","Territory_defense","Street","NA","NA"
"102","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:24","White spruce","Picea glauca","20","Moved street segment away from intersection due to lack of trees. Heard REVI, BHVI, and HOFI among many others. Freeze throw a couple years ago, had to cut down lots of big maples due to cracks down their middles. Make it out here at 6am. Possible ARU location.","Territory_defense","Street","NA","NA"
"103","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","YBFL","Empidonax flaviventris","Vocalize","9:31","White spruce","Picea glauca","20","","Territory_defense","Street","NA","NA"
"104","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","YBFL","Empidonax flaviventris","Sally","9:31","Norway maple","Acer platanoides","76","","Foraging","Street","NA","NA"
"105","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","9:37","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"106","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"107","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:40","Norway maple","Acer platanoides","76","","Territory_defense","Street","NA","NA"
"108","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"109","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:40","White spruce","Picea glauca","20","","Territory_defense","Street","NA","NA"
"110","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:40","Norway maple","Acer platanoides","76","","Territory_defense","Street","NA","NA"
"111","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"112","S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"113","S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","AMGO","Spinus tristis","Glean","7:14","Silver maple","Acer saccharinum","72","Construction noise. BLPW heard. ","Foraging","Street","NA","NA"
"114","S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","AMGO","Spinus tristis","Glean","7:14","White spruce","Picea glauca","59","","Foraging","Street","NA","NA"
"115","S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","AMGO","Spinus tristis","Perch","7:14","White spruce","Picea glauca","59","","Rest","Street","NA","NA"
"116","S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","CHSP","Spizella passerina","Vocalize","7:19","White spruce","Picea glauca","59","","Territory_defense","Street","NA","NA"
"117","S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","HOSP","Passer domesticus","Vocalize","7:49","Honey locust","Gleditsia triacanthos","5","CEDW flock overhead, BLPW heard. ","Territory_defense","Street","NA","NA"
"118","S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","HOSP","Passer domesticus","Hop","7:50","Ground",NA,NA,"","Foraging","Street","NA","NA"
"119","S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","BCCH","Poecile atricapillus","Glean","7:56","Red ash","Fraxinus pensylvannica ","50","","Foraging","Street","NA","NA"
"120","S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","AMRO","Turdus migratorius","Perch","8:00","Red oak","Quercus rubra","23","","Rest","Street","NA","NA"
"121","S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","HOSP","Passer domesticus","Perch","8:00","Red oak","Quercus rubra","23","","Rest","Street","NA","NA"
"122","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:03","Ground",NA,NA,"","Foraging","Street","NA","NA"
"123","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:04","Ground",NA,NA,"","Foraging","Street","NA","NA"
"124","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:04","Ground",NA,NA,"","Foraging","Street","NA","NA"
"125","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:06","Ground",NA,NA,"","Foraging","Street","NA","NA"
"126","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:06","Ground",NA,NA,"","Foraging","Street","NA","NA"
"127","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Perch","9:12","Common hackberry","Celtis occidentalis","25","Male NOCA","Rest","Street","NA","NA"
"128","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Perch","9:12","Common hackberry","Celtis occidentalis","25","Female NOCA","Rest","Street","NA","NA"
"129","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Peck","9:12","Ground",NA,NA,"","Foraging","Street","NA","NA"
"130","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Peck","9:12","Ground",NA,NA,"","Foraging","Street","NA","NA"
"131","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Bill wipe","9:13","Common hackberry","Celtis occidentalis","25","","Grooming","Street","NA","NA"
"132","S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Hop","9:22","Common hackberry","Celtis occidentalis","25","","Foraging","Street","NA","NA"
"133","S13","31/05/2024","10:04","10:24",19,1,2,"Friday",NA,"","","","","","","Very quiet","NA","Street","NA","NA"
"134","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:21","Silver maple","Acer saccharinum","105","Many, many squirrels on this street. 3 cats. BCCH on Sugar maple after survey. ","Foraging","Street","NA","NA"
"135","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:23","Silver maple","Acer saccharinum","105","","Foraging","Street","NA","NA"
"136","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:25","Silver maple","Acer saccharinum","105","","Foraging","Street","NA","NA"
"137","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","7:25","Silver maple","Acer saccharinum","105","","Territory_defense","Street","NA","NA"
"138","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Feed young","7:25","Sugar maple","Acer saccharum","4","","Reproduction","Street","NA","NA"
"139","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Feed young","7:25","Sugar maple","Acer saccharum","4","","Reproduction","Street","NA","NA"
"140","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:25","Sugar maple","Acer saccharum","4","","Rest","Street","NA","NA"
"141","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:27","Sugar maple","Acer saccharum","4","","Rest","Street","NA","NA"
"142","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:28","Sugar maple","Acer saccharum","4","","Rest","Street","NA","NA"
"143","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:33","Silver maple","Acer saccharinum","105","","Rest","Street","NA","NA"
"144","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:33","Silver maple","Acer saccharinum","105","","Rest","Street","NA","NA"
"145","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Bill wipe","7:34","Silver maple","Acer saccharinum","105","","Grooming","Street","NA","NA"
"146","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","7:37","Norway maple","Acer platanoides","40","","Territory_defense","Street","NA","NA"
"147","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:39","Sugar maple","Acer saccharum","40","","Rest","Street","NA","NA"
"148","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","7:39","Sugar maple","Acer saccharum","40","","Territory_defense","Street","NA","NA"
"149","S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:40","Ground",NA,NA,"","Foraging","Street","NA","NA"
"150","S09","03/06/2024","8:22","8:42",21,1,2,"Monday","AMRO","Turdus migratorius","Hop","8:22","Ground",NA,NA,"YEWA head from train tracks. CHSW flying through the canopy of the Red ash (DBH = 80).","Foraging","Street","NA","NA"
"151","S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","8:25","Common hackberry","Celtis occidentalis","4","","Territory_defense","Street","NA","NA"
