"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH..cm.","Notes","X","Type","IsHedge","Basal.density","BehaviourType","DBH"
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","NOCA","Cardinalis cardinalis","Vocalize","6:34","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:35","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Rest",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:40","Trumpet honeysuckle","Lonicera sempervirens",NA,"","","Yard","No",11.3989116,"Territory_defense",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Preen","6:41","Trumpet honeysuckle","Lonicera sempervirens",NA,"","","Yard","No",11.3989116,"Grooming",NA
"Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Preen","6:41","Trumpet honeysuckle","Lonicera sempervirens",NA,"","","Yard","No",11.3989116,"Grooming",NA
"Y31","28/05/2024","6:51","7:11",17,4,4,"Tuesday",NA,"","","","","",NA,"Cedar hedges on either side. Very light rain, windy. Has treated ash tree. Feeder & birdbath.","","Yard","Yes",0.8590313,NA,NA
"Y07","28/05/2024","7:19","7:39",18,4,4,"Tuesday",NA,"","","","","",NA,"Light rain. COGR flock, possible MERL. Wind gusts.","","Yard","Yes",6.9929772,NA,NA
"Y44","28/05/2024","7:47","8:07",17,4,4,"Tuesday","CHSP","Spizella passerina","Vocalize","8:07","Cherry plum ","Prunus cerasifera",3,"","","Yard","No",6.8395773,"Territory_defense",NA
"Y44","28/05/2024","7:47","8:07",17,4,4,"Tuesday","CHSP","Spizella passerina","Vocalize","8:07","Japanese yew","Taxus cuspidata",15,"Light drizzle. Mulberry tree, leaf litter pile, and somewhat natural lawn in backyard.","","Yard","No",6.8395773,"Territory_defense",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Perch","7:09","White cedar","Thuja occidentalis",35,"Loud BLBW and AMRE vocalizations. Faint MAWA and CEDW. ","","Yard","No",24.3215042,"Rest",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Perch","7:14","Siberian elm","Ulmus pumila",18,"","","Yard","No",24.3215042,"Rest",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Preen","7:17","Siberian elm","Ulmus pumila",46,"","","Yard","No",24.3215042,"Grooming",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Vocalize","7:20","Siberian elm","Ulmus pumila",46,"Fledgling","","Yard","No",24.3215042,"Territory_defense",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Vocalize","7:20","Siberian elm","Ulmus pumila",46,"Fledgling","","Yard","No",24.3215042,"Territory_defense",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Perch","7:20","Siberian elm","Ulmus pumila",46,"Fledgling","","Yard","No",24.3215042,"Rest",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Preen","7:20","White cedar","Thuja occidentalis",35,"","","Yard","No",24.3215042,"Grooming",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Preen","7:22","Siberian elm","Ulmus pumila",46,"","","Yard","No",24.3215042,"Grooming",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Vocalize","7:23","White cedar","Thuja occidentalis",35,"","","Yard","No",24.3215042,"Territory_defense",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Bill wipe","7:23","White cedar","Thuja occidentalis",35,"","","Yard","No",24.3215042,"Grooming",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Preen","7:23","Siberian elm","Ulmus pumila",46,"","","Yard","No",24.3215042,"Grooming",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Hop","7:24","White cedar","Thuja occidentalis",35,"","","Yard","No",24.3215042,"Foraging",NA
"Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Vocalize","7:27","Siberian elm","Ulmus pumila",46,"","","Yard","No",24.3215042,"Territory_defense",NA
"Y24","29/05/2024","10:17","10:37",13,1,2,"Wednesday","SOSP","Melospiza melodia","Vocalize","10:23","White cedar","Thuja occidentalis",5,"REVI seen and heard in neighbourhood. Recess time for elementary school behind backyard. REVI, WBNU, NOCA on same silver maple in street","","Yard","Yes",66.8015769,"Territory_defense",NA
"Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","CHSP","Spizella passerina","Vocalize","8:11","Norway spruce","Picea abies",58,"","","Yard","Yes",5.1747616,"Territory_defense",NA
"Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes",5.1747616,"Territory_defense",NA
"Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Court","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes",5.1747616,"Reproduction",NA
