"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Hop","8:53","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Glean","8:54","Common lilac","Syringa vulgaris","5","Picture with bush***","Foraging","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","8:54","Sugar maple","Acer saccharum","25","","Rest","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","8:58","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:01","Sugar maple","Acer saccharum","5","","Rest","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:01","Sugar maple","Acer saccharum","5","","Rest","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:01","Sugar maple","Acer saccharum","5","","Rest","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Forage","9:01","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Vocalize","9:24","Red ash","Fraxinus pennsylvanica","50","YEWA heard near train tracks","Territory_defense","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Preen","9:26","Red ash","Fraxinus pennsylvanica","40","","Grooming","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","CHSP","Spizella passerina","Perch","9:26","Red ash","Fraxinus pennsylvanica","40","","Rest","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:28","Red ash","Fraxinus pennsylvanica","40","","Rest","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Bill wipe","9:28","Honey locust","Gleditsia triacanthos","5","","Grooming","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:30","Honey locust","Gleditsia triacanthos","5","","Rest","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:31","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:31","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:31","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Hop","9:31","Red ash","Fraxinus pennsylvanica","40","","Foraging","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Vocalize","9:32","Red ash","Fraxinus pennsylvanica","30","","Territory_defense","Street","NA","NA"
